,Unnamed: 0,UserID,Feature 0_Tools hardware sites,Feature 0_Jewellery watches sites,Feature 0_Media sites,Feature 0_Dating sites,Feature 0_Automotive sites,Feature 0_Pet supplies sites,Feature 0_Clothing and shoes sites,Feature 0_Health and Beauty sites,Feature 0_Toys games sites,Feature 0_Musical instruments recording equipment sites,Feature 0_Stationery office supplies sites,Feature 0_Sports and outdoor sites,Feature 0_Home stuffs sites,Feature 0_Console and video games sites,Feature 0_Outdoor Living sites,Feature 0_Baby products sites,Feature 0_Betting sites,Feature 0_Computer software sites,Feature 0_Grocery beverages sites,Feature 0_Consumer electronics sites,Feature 1_R&B - Soul,Feature 1_World Music - Beats,Feature 1_Asian Pop (J-Pop or K-pop),Feature 1_Alternative Music,Feature 1_Latin Music,Feature 1_Singer - Songwriter (inc. Folk),Feature 1_Country Music,Feature 1_Indie Pop,Feature 1_Electronic Music,Feature 1_Dance Music,Feature 1_Jazz,Feature 1_Rock,Feature 1_Easy Listening,Feature 1_Blues,Feature 1_European Music (Folk-Pop),Feature 1_Classical Music,Feature 1_Pop (Popular music),Feature 1_Hip Hop - Rap,Feature 1_New Age,Feature 1_Opera,Feature 1_Reggae,Feature 1_Inspirational (incl. Gospel),Feature 2_Horror,Feature 2_Documentary,Feature 2_Sport,Feature 2_Fantasy,Feature 2_Action,Feature 2_Romance,Feature 2_War,Feature 2_Mystery,Feature 2_Drama,Feature 2_Crime and Gangster,Feature 2_Comedy,Feature 2_Adventure,Feature 2_Epic - Historical,Feature 2_Western,Feature 2_Musical,Feature 2_Thriller,Feature 2_Family,Feature 2_Animation,Feature 2_Biography,Feature 2_Erotic,Feature 2_Sci-Fi,Feature 3_Learning,Feature 3_Factual,Feature 3_Sport,Feature 3_Comedy,Feature 3_Religion Ethics,Feature 3_Entertainment (Variety Shows),Feature 3_Weather,Feature 3_Children's,Feature 3_News,Feature 3_Drama,Feature 3_Music,Feature 4_Horror,Feature 4_Travel,Feature 4_Science,Feature 4_Self help,Feature 4_Science fiction,Feature 4_Fantasy,Feature 4_Autobiographies,Feature 4_Romance,Feature 4_Comics,Feature 4_Journals,Feature 4_Erotic fiction,Feature 4_Children's literature,Feature 4_Anthologies,Feature 4_Poetry,Feature 4_Encyclopedias,Feature 4_Diaries,Feature 4_Biographies,Feature 4_Math,Feature 4_Mystery,Feature 4_Drama,Feature 4_Guide,Feature 4_Prayer books,Feature 4_Cookbooks,Feature 4_History,Feature 4_Children's,Feature 4_Trilogies,Feature 4_Action and Adventure,Feature 4_Satire,Feature 4_Series,Feature 4_Religious,Feature 4_Art,Feature 4_10,Feature 4_20,Feature 4_30,Feature 4_40,Feature 4_50,Feature 4_60,Feature 5_Unemploied,Feature 5_Odd job,Feature 5_Contract employment,Feature 5_Student,Feature 5_Housewife/Househusband,Feature 5_Consulting,Feature 5_Temporary,Feature 5_Self-employment,Feature 6_Singapore,Feature 6_Saudi Arabia,Feature 6_Canada,Feature 6_Great Britain,Feature 6_United States of America,Feature 6_Czech Republic,Feature 6_Slovenia,Feature 6_Phillipines,Feature 6_United Kingdom,Feature 6_Romania,Feature 6_Italy,Feature 6_India,Feature 7_Sports,Feature 7_Movie,Feature 7_Reading,Feature 7_Internet,Feature 7_Music,O_score,N_score,C_score,A_score,E_score
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.5,1.0,0.8,0.9
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6,0.5,0.9,0.7,0.7
2,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.9,0.7,0.8,0.5,0.3
3,3,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9,0.7,0.5,0.6,0.9
4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6,0.4,0.6,0.7,0.9
5,5,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.8,0.9,0.6,0.5
6,6,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8,0.6,0.9,0.9,0.5
7,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9,0.4,0.9,0.9,0.6
8,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0.7,0.4,0.3,0.6
9,9,9,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0.3,0.8,0.9,0.8
